EndNodes_1,EndNodes_2,branch_length,segment_dia,segment_csarea,nsegment,segment_i_nnode,mid_xpos,mid_ypos,mid_zpos,delP,velocity,velocity_um_sec,qdot,qdot_um3_sec,tau,G,K,glc_ext_dispersion,lac_ext_dispersion,ins_ext_dispersion,cpep_ext_dispersion,glc_ext_disp_vol,lac_ext_disp_vol,ins_ext_disp_vol,cpep_ext_disp_vol
1,17,11.7937810387546,5.19999980926514,21.2371647803178,1,0,50.4900085449297,38.880010986301,0,3.23063929919135,3472.02902773421,57.8671504622368,73736.052584038,1228.93420973397,0.20380787622247,61.9955118991956,22823.9818052404,54599.9910443702,77099.9936578809,9599.94906485567,9599.94906485567,98318.6819394787,138834.633650853,17286.712336193,17286.712336193
2,12,9.02988165590642,10.3800001144409,84.6222557423036,1,0,2.36249999999848,30.5775085449194,0,0.120660427750408,674.867943341469,11.2477990556912,57108.8476937243,951.814128228738,0.802813209161795,1285.60447253741,473302.214806138,54599.9930638313,77099.9950880051,9599.96055054078,9599.96055054078,511676.094177088,722531.673247338,89964.6692814094,89964.6692814094
3,4,12.9039422005099,15.0900001525879,178.841527147562,2,0,27.540002441364,49.0050170898276,0,0.0498441454310523,412.298271869786,6.87163786449644,73736.0525814932,1228.93420969155,1.87785538978712,4018.22792578842,1479332.2654812,54600.0089556298,77100.0063421191,9600.05093514433,9600.05093514433,756726.032414308,1068563.59576428,133051.41508366,133051.41508366
4,15,12.9039422006895,15.0900001525879,178.841527147562,2,0,39.6000040689683,53.5950154622236,0,0.0498441454310523,412.298271864046,6.87163786440076,73736.0525804666,1228.93420967444,1.87785538983941,4018.22792573248,1479332.26546061,54600.0089556298,77100.0063421191,9600.05093514432,9600.05093514432,756726.032403772,1068563.5957494,133051.415081807,133051.415081807
5,14,11.7022544589807,3.82999992370605,11.520926660065,1,0,16.8075073242417,21.6675048828056,0,8.43619697260328,4956.96651637922,82.6161086063203,57108.8476916028,951.81412819338,0.141646159040773,18.3876201648918,6769.50145629185,54599.9930638313,77099.9950880051,9599.96055054078,9599.96055054078,53753.9597975254,75905.3216637755,9451.20804114966,9451.20804114966
6,14,10.8378094813574,4.98999977111816,19.5564910143743,1,0,27.3600097655983,22.1850056966026,0,3.50096792207751,3770.41323664538,62.8402206107563,73736.0525829335,1228.93420971556,0.172466127203607,57.2085039251588,21061.6190219697,54599.9910443702,77099.9936578809,9599.94906485567,9599.94906485567,98523.9901181954,139124.546871976,17322.8102918992,17322.8102918992
7,6,10.8378094814611,4.98999977111816,19.5564910143743,1,0,37.2600097655921,26.595007324204,0,3.50096792209206,3770.41323662498,62.8402206104163,73736.0525825345,1228.93420970891,0.172466127206191,57.2085039246114,21061.6190217682,54599.9910443702,77099.9936578809,9599.94906485567,9599.94906485567,98523.9901172528,139124.546870645,17322.8102917334,17322.8102917334
8,9,13.3248672748438,4.1399998664856,13.4614094931099,2,0,9.99000244140746,62.1000244141068,0,16.1208234516125,9719.99999994863,161.999999999144,130844.900272336,2180.74833787227,0.0822522671291,22.0464372518725,8116.51468456769,54600.0158917984,77100.0112541141,9600.09038460355,9600.09038460355,55159.5116926537,77890.0683967357,9698.4641702204,9698.4641702204
9,13,13.3248672748001,4.1399998664856,13.4614094931099,2,0,9.6300008138023,48.7800211588616,0,16.120823451507,9719.99999991688,161.999999998615,130844.900271909,2180.74833786515,0.0822522671290991,22.0464372519448,8116.5146845943,54600.0158917984,77100.0112541141,9600.09038460355,9600.09038460355,55159.5116928345,77890.068396991,9698.46417025219,9698.46417025219
10,18,10.0078254536953,5.6399998664856,24.9832002355645,1,0,3.73500162758772,3.33000081378739,0,3.51519147102317,5237.31543755394,87.288590625899,130844.900273223,2180.74833788706,0.114652159943637,101.105935652902,37222.6950798609,54599.9841082016,77099.9887458859,9599.90961539645,9599.90961539645,136301.571419811,192469.829326112,23964.8928005848,23964.8928005848
11,10,10.0078254537478,5.6399998664856,24.9832002355645,1,0,11.2050048827828,9.99000244137969,0,3.51519147104682,5237.31543756166,87.2885906260276,130844.900273416,2180.74833789027,0.114652159944071,101.105935652371,37222.6950796654,54599.9841082016,77099.9887458859,9599.90961539645,9599.90961539645,136301.571419094,192469.8293251,23964.8928004589,23964.8928004589
12,5,11.7022544590764,3.82999992370605,11.520926660065,1,0,5.60250244142916,25.0425048828056,0,8.43619697282065,4956.9665164664,82.6161086077734,57108.8476926073,951.814128210121,0.14164615903944,18.3876201647415,6769.50145623649,54599.9930638313,77099.9950880051,9599.96055054078,9599.96055054078,53753.9597970858,75905.3216631548,9451.20804107237,9451.20804107237
13,2,9.02988165591805,10.3800001144409,84.6222557423036,1,0,7.08749999999849,38.2725158691381,0,0.120660427745861,674.867943315166,11.2477990552528,57108.8476914984,951.81412819164,0.802813209194119,1285.60447253575,473302.214805528,54599.9930638313,77099.9950880051,9599.96055054078,9599.96055054078,511676.09417643,722531.673246408,89964.6692812936,89964.6692812936
13,3,12.903942200599,15.0900001525879,178.841527147562,2,0,15.4800008138019,44.4150187174478,0,0.0498441454301428,412.298271859416,6.87163786432359,73736.0525796385,1228.93420966064,1.87785538984732,4018.22792576067,1479332.26547099,54600.0089556298,77100.0063421191,9600.05093514432,9600.05093514432,756726.032409081,1068563.5957569,133051.415082741,133051.415082741
14,11,10.007825453775,5.6399998664856,24.9832002355645,1,0,18.6750081380076,16.6500040689985,0,3.51519147107956,5237.31543759623,87.2885906266038,130844.90027428,2180.74833790466,0.114652159943625,101.105935652097,37222.6950795644,54599.9841082016,77099.9887458859,9599.90961539645,9599.90961539645,136301.571418725,192469.829324578,23964.8928003939,23964.8928003939
15,1,11.7937810388675,5.19999980926514,21.2371647803178,1,0,47.2500061035234,50.2200134277072,0,3.23063929916862,3472.02902767654,57.8671504612757,73736.0525828135,1228.93420971356,0.203807876227805,61.9955118986023,22823.981805022,54599.9910443702,77099.9936578809,9599.94906485567,9599.94906485567,98318.6819385379,138834.633649525,17286.7123360276,17286.7123360276
16,8,13.3248672747114,4.1399998664856,13.4614094931099,2,0,10.3500040690114,75.4200276693077,0,16.1208234515016,9719.9999999783,161.999999999638,130844.900272736,2180.74833787893,0.0822522671280317,22.0464372520915,8116.51468464833,54600.0158917984,77100.0112541141,9600.09038460355,9600.09038460355,55159.5116932017,77890.0683975096,9698.46417031676,9698.46417031676
17,7,10.8378094814295,4.98999977111816,19.5564910143743,1,0,47.1600097656189,31.0050089518201,0,3.50096792209843,3770.41323664283,62.8402206107139,73736.0525828836,1228.93420971473,0.172466127204871,57.2085039247783,21061.6190218297,54599.9910443702,77099.9936578809,9599.94906485567,9599.94906485567,98523.9901175402,139124.546871051,17322.810291784,17322.810291784
