Name,xpos,ypos,zpos,hNode,tNode,pressure,pressure_mmHg,volume,cellvolume
1,135,3893.39990234375,10,0,0,1991.32897882932,14.9349673412199,73514.4902529612,64754140.6441265
2,464.399993896484,3885.30004882812,10,0,0,1978.90308796079,14.8417731597059,183990.048490524,0
3,307.799987792969,3780,10,0,0,2744.88410827215,20.5866308120411,23220.2108233202,296672244.542815
4,812.700012207031,3696.30004882812,10,0,0,1979.59105697554,14.8469329273165,229579.03410098,0
5,378,3947.39990234375,10,0,0,1813.2785523925,13.5995891429437,14799.3174121971,0
6,1223.09997558594,3431.69995117188,10,0,0,2073.04631195124,15.5478473396343,140194.514095584,0
7,818.099975585938,3831.30004882812,10,0,0,1952.76325711259,14.6457244283444,39193.1546912331,0
8,1387.80004882812,3210.30004882812,10,0,0,2157.77049551229,16.1832787163422,63624.9510309041,0
9,1344.59997558594,3531.60009765625,10,0,0,1556.56386693823,11.6742290020367,6195.26317318969,0
10,1476.90002441406,3180.60009765625,10,0,0,2166.45673258393,16.2484254943795,137851.770860671,0
11,1395.90002441406,3067.19995117188,10,0,0,2961.51856727782,22.2113892545836,7533.55714444428,10117457.2270693
12,2019.59997558594,2554.19995117188,10,0,0,2547.43354336335,19.1057515752251,104381.522884509,451073012.972225
13,1660.5,3364.19995117188,10,0,0,2120.41123314505,15.9030842485878,84804.2538350705,0
14,2500.19995117188,1822.5,10,0,0,5300.53073718215,39.7539805288662,11225.8625735062,128580827.242104
15,2146.5,2718.89990234375,10,0,0,2753.3693470743,20.6502701030573,57043.7116752634,0
16,2527.19995117188,1790.09997558594,10,0,0,5300.56777730634,39.7542583297975,10301.2165651808,0
17,2192.39990234375,1258.19995117188,10,0,0,5287.31474834838,39.6548606126128,16959.4893929032,0
18,2562.30004882812,1744.19995117188,10,0,0,5300.63944237531,39.7547958178148,20161.8651460014,0
19,2708.10009765625,1917,10,0,0,5296.7327184536,39.725495388402,10967.9400087958,0
20,2654.10009765625,1649.69995117188,10,0,0,5300.87281838449,39.7565461378837,21438.9514999491,0
21,2751.30004882812,1647,10,0,0,5301.08305211418,39.7581228908563,31890.5516811102,0
22,2643.30004882812,1447.19995117188,10,0,0,5296.76115662363,39.7257086746772,16163.3319181976,0
23,2961.89990234375,1566,10,0,0,5301.6790735446,39.7625930515845,25678.425420912,0
24,2986.19995117188,1852.19995117188,10,0,0,5299.2428732336,39.744321549252,8717.76355181586,0
25,2997,1557.90002441406,10,0,0,5301.75430529984,39.7631572897488,15489.0753229513,0
26,2999.69995117188,1026,10,0,0,5305.41976607888,39.7906482455916,9649.20635505255,0
27,3080.69995117188,1468.80004882812,10,0,0,5302.03610770751,39.7652708078063,32562.0158420687,0
28,3110.39990234375,1104.30004882812,10,0,0,5303.87250173924,39.7790437630443,36480.6616262975,0
29,3169.80004882812,1495.80004882812,10,0,0,5302.58417126953,39.7693812845214,6668.33082265187,0
30,3204.89990234375,947.700012207031,10,0,0,5304.11010281928,39.7808257711446,18388.3669463773,53494797.301109
31,3075.30004882812,1031.40002441406,10,0,0,5304.08795241485,39.7806596431114,24404.7926156869,0
32,3402,453.600006103516,10,0,0,5312.31708072086,39.8423781054064,14344.5518021352,16247779.3865234
33,3310.19995117188,1255.5,10,0,0,5306.49566466755,39.7987174850066,14254.7167592397,0
34,3607.19995117188,483.299987792969,10,0,0,5312.53128330048,39.8439846247536,25277.0534655568,0
35,3493.80004882812,548.099975585938,10,0,0,5309.52375165719,39.8214281374289,4018.1925531342,7799660.51157768
36,3712.5,486,10,0,0,5312.77204286934,39.8457903215201,11188.0029126159,0
37,3593.69995117188,828.900024414062,10,0,0,5308.73014351127,39.8154760763346,9345.74360757316,0
38,3704.39990234375,564.299987792969,10,0,0,5313.40220934937,39.8505165701203,14768.1390997975,0
39,3809.69995117188,556.200012207031,10,0,0,5313.45677202234,39.8509257901676,27309.9080875668,0
40,3931.19995117188,936.900024414062,10,0,0,5313.91869260757,39.8543901945568,404598.93574105,0
41,3515.39990234375,788.400024414062,10,0,0,5307.5838639352,39.806878979514,15324.6882000222,0
42,3550.5,1044.90002441406,10,0,0,5307.1967958555,39.8039759689163,81921.1153347959,0
43,3493.80004882812,683.099975585938,10,0,0,5307.6813962176,39.807610471632,9213.00809750424,6053841.11095027
44,3078,618.299987792969,10,0,0,5306.33876420039,39.797540731503,42622.1969606069,0
45,3280.5,1509.30004882812,10,0,0,5303.12261873466,39.77341964051,7206.20196969583,0
46,3277.80004882812,1655.09997558594,10,0,0,5302.89402679374,39.7717052009531,8673.91297824956,0
47,3310.19995117188,1387.80004882812,10,0,0,5303.25599828543,39.7744199871407,7136.09624382389,0
48,3402,1593,10,0,0,5303.4190722013,39.7756430415098,5894.7768238542,0
49,3026.69995117188,1952.09997558594,10,0,0,5298.40848338614,39.7380636253961,6104.39520342498,0
50,3099.60009765625,1962.90002441406,10,0,0,5297.73827256589,39.7330370442442,29694.8577291347,0
51,3348,2359.80004882812,10,0,0,5296.53579477488,39.7240184608116,9364.92905072023,0
52,3210.30004882812,2178.89990234375,10,0,0,5297.35242560376,39.7301431920282,11753.1593529347,0
53,3447.89990234375,2208.60009765625,10,0,0,5297.56038765197,39.7317029073898,36729.3388200209,0
54,2702.69995117188,1382.40002441406,10,0,0,5293.81452057423,39.7036089043067,30413.1833438944,0
55,2200.5,747.900024414062,10,0,0,5285.80398878984,39.6435299159238,191799.47517424,0
56,2586.60009765625,669.599975585938,10,0,0,5291.39012245456,39.6854259184092,12696.8390507078,375172473.856016
57,2394.89990234375,440.100006103516,10,0,0,5285.80942923583,39.6435707192687,123259.227263841,0
58,2551.5,413.100006103516,10,0,0,5286.15779418217,39.6461834563663,4077.29875659722,25306229.2928389
59,2899.80004882812,2106,10,0,0,5295.70269159426,39.7177701869569,6257.07085276152,67250231.4256396
60,2700,2270.69995117188,10,0,0,5287.50049350866,39.656253701315,9706.62578392476,0
61,3024,2359.80004882812,10,0,0,5290.76716481752,39.6807537361314,5346.98720216998,94363153.2808415
62,2419.19995117188,2907.89990234375,10,0,0,2922.19065012271,21.9164298759203,77169.0626169765,0
63,2259.89990234375,3304.80004882812,10,0,0,2863.05213936185,21.4728910452139,15105.399266854,0
64,2775.60009765625,2959.19995117188,10,0,0,3105.45139956125,23.2908854967094,85762.7191961546,0
65,2519.10009765625,3148.19995117188,10,0,0,2921.6197174578,21.9121478809335,12578.6629927407,0
66,3318.30004882812,2921.39990234375,10,0,0,3495.14183862554,26.2135637896915,79102.3008000144,0
67,3739.5,2691.89990234375,10,0,0,4186.90450101602,31.4017837576201,40578.1340167011,0
68,3350.69995117188,2953.80004882812,10,0,0,3416.94656353258,25.6270992264943,6162.65096465437,10772280.1176877
69,3790.80004882812,2651.39990234375,10,0,0,4275.70111150702,32.0677583363026,28761.1726775297,0
70,3596.39990234375,2332.80004882812,10,0,0,5279.63919491824,39.5972939618868,37576.3823518154,0
71,3885.30004882812,2686.5,10,0,0,4075.48895589507,30.566167169213,13582.2109170863,0
72,3882.60009765625,2327.39990234375,10,0,0,5003.21282637434,37.5240961978075,62758.1384329147,0
73,3909.60009765625,2727,10,0,0,3923.98752196948,29.4299064147711,12395.7030608868,0
74,4185,2143.80004882812,10,0,0,3998.50463254575,29.9887847440931,26948.1103804028,0
75,3793.5,2851.19995117188,10,0,0,3652.67534453096,27.3950650839822,9739.85712904007,0
76,4249.7998046875,2381.39990234375,10,0,0,3336.4645903646,25.0234844277345,19554.7204649628,0
77,3788.10009765625,2899.80004882812,10,0,0,3497.99922085856,26.2349941564392,6020.25234110332,0
78,3690.89990234375,2899.80004882812,10,0,0,3180.17892054492,23.8513419040869,30952.0654277902,0
79,4430.7001953125,1447.19995117188,10,0,0,5326.91491120787,39.951861834059,204303.914209599,0
80,4031.10009765625,2127.60009765625,10,0,0,5072.47845032957,38.0435883774717,66827.6627506878,0
81,4320,1371.59997558594,10,0,0,5323.32041428184,39.9249031071138,422763.367518559,0
82,3955.5,1633.5,10,0,0,5312.05777411636,39.8404333058727,467543.435360626,0
83,3564,3110.39990234375,10,0,0,3214.59185982239,24.109438948668,5160.08284615479,68138524.1865953
84,3402,3199.5,10,0,0,2939.27591944137,22.0445693958102,36616.7033556354,0
85,3631.5,3348,10,0,0,2873.05944369384,21.5479458277038,93671.6040297869,0
86,1941.30004882812,3650.39990234375,10,0,0,2018.64068859839,15.1398051644879,144444.249577313,901366817.174622
87,1725.30004882812,3285.89990234375,10,0,0,2380.22473958298,17.8516855468723,2719.65293760316,1804666.95382752
88,2354.39990234375,3715.19995117188,10,0,0,2671.9368002133,20.0395260015997,8989.49770189228,28998418.5331848
89,2327.39990234375,4471.2001953125,10,0,0,1706.02744905604,12.7952058679203,123028.494670614,0
90,2448.89990234375,3869.10009765625,10,0,0,2669.91501900484,20.0243626425363,44948.2729111879,0
91,2578.5,3647.69995117188,10,0,0,2813.29337278218,21.0997002958663,8277.86361838131,0
92,2810.69995117188,4006.80004882812,10,0,0,2668.08345900173,20.010625942513,43233.3332689859,0
93,2459.69995117188,4268.7001953125,10,0,0,2826.89317678986,21.201698825924,73593.3054839423,0
94,2934.89990234375,4031.10009765625,10,0,0,2662.86382366274,19.9714786774706,36509.3389625467,0
95,2875.5,3780,10,0,0,2790.20196583518,20.9265147437638,13732.6156525803,0
96,3169.80004882812,3690.89990234375,10,0,0,2675.59271703404,20.0669453777553,62341.1875164736,0
97,2926.80004882812,4106.7001953125,10,0,0,2659.60131424968,19.9470098568726,31366.1869392347,0
98,3499.19995117188,3807,10,0,0,2665.48477846524,19.9911358384893,46668.6816858742,0
99,3248.10009765625,3377.69995117188,10,0,0,2871.59611585061,21.5369708688796,417001.31904286,0
100,3769.19995117188,3777.30004882812,10,0,0,2705.85310250311,20.2938982687733,13497.7540132902,0
101,3464.10009765625,4182.2998046875,10,0,0,2527.10883640195,18.9533162730146,17519.0143147606,0
102,3847.5,3712.5,10,0,0,2710.60981502174,20.3295736126631,21057.5990485676,0
103,3564,3404.69995117188,10,0,0,2872.99152039364,21.5474364029523,97142.4753641651,0
104,3950.10009765625,3639.60009765625,10,0,0,2681.9594132558,20.1146955994185,13477.0538768836,0
105,3715.19995117188,3307.5,10,0,0,2873.09901027102,21.5482425770326,156260.440382459,0
106,4044.60009765625,3453.30004882812,10,0,0,2726.55642098119,20.4491731573589,12105.8627632343,0
107,3958.19995117188,3674.69995117188,10,0,0,2578.50416738563,19.3387812553922,9566.7371346181,0
108,4098.60009765625,3412.80004882812,10,0,0,2805.49185264157,21.0411888948118,8282.70922575335,0
109,3839.39990234375,3140.10009765625,10,0,0,2873.56410102826,21.5517307577119,171823.533765555,0
110,4101.2998046875,3331.80004882812,10,0,0,2811.72317242972,21.0879237932229,7167.29511925965,0
111,4117.5,3256.19995117188,10,0,0,2847.64783400344,21.3573587550258,6784.33789095228,0
112,3971.69995117188,3150.89990234375,10,0,0,2873.78674924537,21.5534006193402,120909.279383549,0
113,3974.39990234375,3763.80004882812,10,0,0,2499.59851270891,18.7469888453168,14509.9483107519,0
114,4249.7998046875,3947.39990234375,10,0,0,2433.00784873217,18.2475588654913,33433.6544526096,65782615.8590932
115,4131,4028.39990234375,10,0,0,2432.5734313,18.24430073475,60012.1412762773,0
116,3888,3936.60009765625,10,0,0,2431.82563033211,18.2386922274908,216403.321634801,0
117,2953.80004882812,4425.2998046875,10,0,0,2650.35576310637,19.8776682232978,22241.4453484618,0
118,3339.89990234375,4147.2001953125,10,0,0,2543.92834317381,19.0794625738036,16051.521522593,0
119,2986.19995117188,4441.5,10,0,0,2640.078806201,19.8005910465075,24627.9332276303,0
120,2705.39990234375,4509,10,0,0,2734.49864386907,20.508739829018,58395.8831673418,0
121,3326.39990234375,4328.10009765625,10,0,0,2592.80237234849,19.4460177926137,21450.8755153636,0
122,3072.60009765625,4692.60009765625,10,0,0,2660.70935063926,19.9553201297944,29843.4498649398,0
123,3442.5,4344.2998046875,10,0,0,2569.19784268946,19.268983820171,7934.69220800041,0
124,3485.69995117188,4225.5,10,0,0,2516.00518454076,18.8700388840557,9991.0980998022,0
125,3510,4641.2998046875,10,0,0,2453.71468450129,18.4028601337597,16419.4253664109,0
126,2991.60009765625,4824.89990234375,10,0,0,2679.93054512609,20.0994790884457,64940.282821591,0
127,2354.39990234375,3447.89990234375,10,0,0,2864.92081935937,21.4869061451952,363181.400488234,0
128,2419.19995117188,4687.2001953125,10,0,0,1641.90588916931,12.3142941687698,42620.5084344242,0
129,2138.39990234375,4573.7998046875,10,0,0,1287.87903329544,9.65909274971578,9751.42221322269,0
130,2400.30004882812,4746.60009765625,10,0,0,1551.6942144644,11.637706608483,34536.9600331024,0
131,2597.39990234375,4784.39990234375,10,0,0,1737.95827555703,13.0346870666777,43418.1067493629,0
132,2619,5216.39990234375,10,0,0,660.155583944637,4.95116687958478,61199.2299786138,0
133,2241,4957.2001953125,10,0,0,572.159281899221,4.29119461424416,10360.4011988781,0
134,2886.30004882812,5764.5,10,0,0,45.1714792400599,0.338786094300449,36546.4557603805,143374486.526061
135,2457,5292,10,0,0,204.790437881835,1.53592828411376,16419.1763340928,0
136,2940.30004882812,5845.5,10,0,0,-75.4734965194948,-0.566051223896211,25781.8012794757,10364448.0494062
137,2430,5273.10009765625,10,0,0,190.478196880314,1.42858647660236,12751.6388943625,0
138,2343.60009765625,5605.2001953125,10,0,0,-96.2122742435895,-0.721592056826921,334533.66069929,0
139,2151.89990234375,4976.10009765625,10,0,0,541.342708451673,4.06007031338755,7981.86298433543,0
140,2203.19995117188,5086.7998046875,10,0,0,139.163311435375,1.04372483576532,13487.8927058514,0
141,2678.39990234375,4986.89990234375,10,0,0,1793.33290664502,13.4499967998377,61108.7888757241,0
142,2691.89990234375,4479.2998046875,10,0,0,2760.38042526995,20.7028531895246,36180.1781890248,0
143,2818.80004882812,5184,10,0,0,1818.49479116173,13.638710933713,64040.9472316242,0
144,2967.30004882812,4873.5,10,0,0,2654.49349637097,19.9087012227823,10332.9570731145,19935411.662911
145,3007.80004882812,5418.89990234375,10,0,0,1881.67953712353,14.1125965284265,38966.4139164069,149945619.304938
146,3221.10009765625,5148.89990234375,10,0,0,2026.23950766027,15.196796307452,32262.0666596041,0
147,3272.39990234375,5740.2001953125,10,0,0,2005.69704182446,15.0427278136834,38747.6908150816,0
148,3456,5991.2998046875,10,0,0,2091.98900016351,15.6899175012263,14873.2996674499,0
149,3531.60009765625,5834.7001953125,10,0,0,2127.41741007869,15.9556305755902,19876.4019583791,0
150,3699,6169.5,10,0,0,2241.98500538105,16.8148875403579,8142.45397299637,0
151,3407.39990234375,5564.7001953125,10,0,0,2164.64461661689,16.2348346246267,15484.304451703,0
152,3388.5,5076,10,0,0,2180.25747950841,16.3519310963131,25703.0108542527,0
153,3472.19995117188,5416.2001953125,10,0,0,2254.32513681147,16.907438526086,5667.83261958727,0
154,3609.89990234375,5502.60009765625,10,0,0,2297.74640123383,17.2330980092537,6757.15945664896,0
155,3501.89990234375,5378.39990234375,10,0,0,2260.31158925244,16.9523369193933,11718.9204633121,0
156,3588.30004882812,4681.7998046875,10,0,0,2412.47450387175,18.0935587790381,19755.0733236216,0
157,2073.60009765625,4725,10,0,0,985.620534554822,7.39215400916117,9454.12886668284,0
158,2070.89990234375,4536,10,0,0,1023.34194892552,7.67506461694138,8015.37234749299,0
159,1296,2916,10,0,0,5183.23930365453,38.8742947774089,6852.91366170843,15931301.6904624
160,1250.09997558594,3083.39990234375,10,0,0,4941.09216449541,37.0581912337155,10449.2702041447,0
161,1220.40002441406,2697.30004882812,10,0,0,5179.6597716957,38.8474482877178,20792.1857354227,0
162,1393.19995117188,2870.10009765625,10,0,0,5193.47402267788,38.9510551700841,34212.6365055613,0
163,882.900024414062,2589.30004882812,10,0,0,5106.30118637087,38.2972588977815,36185.8752051038,0
164,1069.19995117188,2354.39990234375,10,0,0,5257.77843410551,39.4333382557913,30180.528952157,0
165,1382.40002441406,3634.19995117188,10,0,0,1264.29112973204,9.48218347299029,5488.61187458133,0
166,1455.30004882812,3672,10,0,0,959.53896764596,7.1965422573447,4311.24323060497,0
167,1166.40002441406,3682.80004882812,10,0,0,1344.04911094904,10.0803683321178,13226.6078343932,0
168,845.099975585938,3915,10,0,0,1926.26616012235,14.4469962009176,29211.5673825724,6907729.88595638
169,909.900024414062,3798.89990234375,10,0,0,1699.87640973157,12.7490730729868,3957.79869065936,5539819.42780995
170,969.299987792969,4017.60009765625,10,0,0,1829.06824421836,13.7180118316377,28279.6254786905,0
171,429.299987792969,4711.5,10,0,0,-3990.8225744688,-29.931169308516,11692.0900931606,4083254.1227738
172,963.900024414062,4058.10009765625,10,0,0,1815.39950834215,13.6154963125661,6792.04166649054,1988969.30376928
173,1217.69995117188,4025.69995117188,10,0,0,1119.94452439249,8.39958393294364,12159.8014415933,0
174,1225.80004882812,4519.7998046875,10,0,0,-2854.6402775473,-21.4098020816047,32873.6457355548,39829720.733412
175,893.700012207031,4160.7001953125,10,0,0,654.120701490901,4.90590526118176,43347.8299963562,0
176,1414.80004882812,4835.7001953125,10,0,0,-2799.90064687748,-20.9992548515811,103207.758198307,0
177,1144.80004882812,4557.60009765625,10,0,0,-3046.56183356978,-22.8492137517733,35854.0692149873,0
178,1849.5,5405.39990234375,10,0,0,-2903.36248383392,-21.7752186287544,73465.2160400975,383877489.894158
